2,4,1,4,2,3,4,4,4,2,4,2,2,4,3,3,2,1,1,42,43,1,1,1
2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,50,51,11,11,3
3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,26,27,14,14,2
4,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,26,27,14,14,3
1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,26,27,14,14,4
1,14,14,14,14,14,14,14,14,14,14,28,29,14,14,14,14,14,14,26,27,14,14,1
2,14,14,14,14,14,14,14,14,14,14,36,37,14,14,14,14,14,14,26,27,14,14,4
1,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,26,27,14,14,2
4,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,26,27,14,14,4
1,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,26,27,14,14,3
4,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,26,27,14,14,1
2,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,26,27,14,14,4
2,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,26,27,14,14,1
2,14,14,35,35,35,35,35,35,35,35,26,27,35,35,35,35,35,35,35,35,14,14,2
1,14,14,34,34,34,34,34,34,34,34,26,27,34,34,34,34,34,34,34,34,14,14,2
4,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,14,14,14,4
2,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,14,14,14,1
3,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,14,14,14,2
3,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,14,14,14,4
4,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,14,14,14,4
1,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,14,14,14,1
3,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,14,14,14,3
3,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,14,14,14,1
3,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,14,14,14,3
3,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,14,14,14,3
4,14,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,14,14,14,4
4,1,14,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,14,14,1,1
1,1,1,14,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,14,1,1,3
3,1,1,1,14,14,14,14,14,14,14,26,27,14,14,14,14,14,14,14,1,1,1,1
1,1,1,1,1,14,14,14,14,14,14,26,27,14,14,14,14,14,14,1,1,1,1,3
1,1,1,1,1,1,14,14,14,14,14,26,27,14,14,14,14,14,1,1,1,1,1,4
4,1,1,1,1,1,1,14,14,14,14,26,27,14,14,14,14,1,1,1,1,1,1,1
